timestep(hours),turbine_generation_s,pv gen kWh,storage_level_kWh
1,29.11875313,0.0,250.0
2,28.09415233,0.0,235.44062343
3,27.06553348,0.0,221.39354727
4,26.61953077,0.0,207.86078053
5,26.58032464,0.216,194.55101514
6,24.144150709999998,1.9008,181.15285282
7,20.166948740000002,4.3632,168.13037746
8,17.40061134,7.9452,155.86530309
9,14.76287548,11.3544,143.19239742
10,0.0,12.585600000000001,142.69148652
11,16.195375050000003,13.8636,142.67754994
12,17.78653715,14.936399999999999,127.64806241000001
13,16.95043196,15.66,111.28659383000002
14,121.79068478999999,14.9544,200.0
15,17.87120274,13.4856,184.13676868
16,20.49455592,11.163599999999999,168.45836731
17,26.78072262,7.4088,152.62928935
18,31.98677529,4.352399999999999,135.53452804
19,1.6100113500000002,2.0448,117.36494039
20,136.44303175,0.4356,200.0
21,33.59887039,0.0,198.20152423
22,31.88718434,0.0,181.40208904
23,3.12483156,0.0,165.45849687
24,28.78123757,0.0,163.89608109
25,26.51104363,0.0,149.5054623
26,24.95204319,0.0,136.24994049
27,24.39353529,0.0,123.7739189
28,24.77926736,0.0,111.57715125
29,126.48389341000001,0.20879999999999999,200.0
30,24.79642099,1.8432000000000002,187.05989451
31,0.0,4.3092,175.34915954
32,0.0,7.182,178.20131707
33,22.189406250000005,10.638,163.30241592
34,22.911755720000002,13.4676,146.88871279
35,0.0,15.084,139.94138461
36,24.460547039999998,15.836400000000001,138.02055945
37,24.00885412,15.822,117.87208593000001
38,125.08020554999999,14.925600000000001,200.0
39,0.0,13.554,190.74156438
40,27.15902337,11.4624,171.58554733
41,31.98819196,8.586,152.27483565
42,37.09648839,5.4144000000000005,131.98773967
43,40.79758554,2.5812,129.86219524999998
44,42.53952258,0.558,108.17280247999999
45,154.19525136000001,0.0,200.0
46,38.51293622,0.0,179.59035373
47,37.44815499,0.0,160.33388562
48,35.79673957,0.0,158.46147786999998
49,33.86406119,0.0,140.56310807999998
50,32.38943963,0.0,123.63107748999998
51,32.24077206,0.0,107.43635766999998
52,111.89042618000002,0.0,200.0
53,31.764366289999998,0.1188,198.39680109
54,29.67465263,1.2924,182.45521794
55,25.80844605,3.7763999999999998,166.97169163
56,24.28584649,6.8580000000000005,152.1792686
57,24.64190801,8.9208,136.60734535
58,23.82887471,12.2652,136.43953181
59,0.0,14.1048,128.66046579
60,26.29150292,14.7528,109.47632243999999
61,135.14979636,15.084,200.0
62,22.635364189999997,14.547600000000001,180.40601633
63,24.42063943,12.69,178.54686812
64,28.177546959999994,10.026000000000002,159.9915484
65,34.05368678,6.408,140.88977492
66,38.95476209,3.528,120.65893153
67,142.87101206,1.7532,200.0
68,42.45500548,0.3492,177.97911873
69,40.95590599,0.0,156.57701599
70,39.23618385,0.0,136.099063
71,37.77763447,0.0,116.48097108
72,105.95457216,0.0,200.0
73,34.50694797,0.0,182.26636995
74,33.95245812,0.0,165.01289597000002
75,3.32493007,0.0,148.03666691
76,32.85151451,0.0,131.41201656
77,33.20565848,0.2124,114.98625931000001
78,135.3601141,2.0268,200.0
79,36.16207757,4.5648,182.16792791
80,0.0,7.4016,164.56525017
81,37.02148629,10.789200000000001,141.36105542
82,34.659976140000005,13.7052,117.45571227000002
83,140.02916478999998,14.9544,200.0
84,33.96257117,15.069600000000001,197.58716555
85,35.37177424000001,13.572,173.07107996000002
86,0.0,11.440800000000001,155.25410256000004
87,37.437020260000004,10.1808,152.86115742000004
88,38.27816613,9.3276,129.05224729000003
89,41.71383757,6.9768,105.24936423000003
90,165.56784173999995,4.456799999999999,200.0
91,49.06151713,2.052,174.53565641
92,49.75871479,0.37439999999999996,148.97889785
93,47.12360104,0.0,123.91234046000001
94,44.20650227,0.0,100.35053994
95,164.73772859,0.0,200.0
96,39.66209634,0.0,197.85074913
97,37.61289473,0.0,178.01970096
98,36.68874498,0.0,159.2132536
99,35.84897412,0.0,140.86888111
100,36.46775265,0.0,122.94439404999999
101,36.83796879,0.2124,104.71051772999999
102,37.05107713,2.1168,102.85799929
103,155.01894746,4.957199999999999,200.0
104,40.25778958,8.244,178.37489591
105,38.75251632,11.336400000000001,154.12400112
106,36.89375204,13.7376,129.07954296
107,36.13038623,15.087599999999998,103.76386694
108,159.36238998,14.6088,200.0
109,38.46590522,12.4668,197.39369681
110,40.35159002,9.7092,171.9273442
111,42.12813473,7.4304,146.89694919
112,43.73424605,5.76,122.11768182999998
113,148.83702201000003,4.1184,200.0
114,48.177102149999996,2.844,174.83700959
115,49.77705687,1.5012,149.32645851
116,51.25017549,0.2772,123.68733008000001
117,150.59020138,0.0,200.0
118,4.50904716,0.0,175.74307815
119,43.72031915,0.0,173.48855457
120,40.92777969,0.0,151.62839499999998
121,39.01920956,0.0,131.16450514999997
122,37.73745404,0.0,111.65490036999996
123,144.45304344000004,0.0,200.0
124,37.53655192,0.0,181.38039161
125,37.64854579,0.0648,162.61211565
126,38.29337771,1.1196,143.75544276
127,39.65262659,3.0671999999999997,124.04895389999999
128,41.94254809,5.6592,121.91296256999999
129,142.98744466,8.5032,200.0
130,39.29997198,10.7568,197.51986334
131,0.0,12.2796,179.72923777
132,37.64682575,12.9564,177.20831798
133,36.932401930000005,13.309199999999999,151.90670511000002
134,35.348381180000004,14.443200000000001,126.78590414000001
135,35.33333509,13.690800000000001,101.89011355000001
136,159.85927447,11.16,200.0
137,37.94500024,8.154,175.80133976
138,40.854173349999996,4.9716000000000005,152.75183964
139,48.84194131,2.0987999999999998,129.83895295999997
140,50.29697008,0.33840000000000003,104.36858230999997
141,168.38209304000003,0.0,200.0
142,44.89358752,0.0,176.28350484999999
143,43.12966692,0.0,153.83671109
144,40.24471249,0.0,132.27187763
145,38.75401876,0.0,112.14952139
146,145.19397045,0.0,200.0
147,36.71687128,0.0,181.01675877
148,36.99009816,0.0,162.65832312999999
149,37.593454040000005,0.14400000000000002,144.16327404999998
150,37.65942877,1.8539999999999999,125.29454702999999
151,39.57130534,4.5468,105.53783263999999
152,157.72374014000002,7.7292000000000005,200.0
153,38.83311208,10.854,175.53413994
154,36.41816161,13.413599999999999,150.69058389999998
155,35.54115051,15.1344,148.19899581999996
156,35.27307491,16.0092,122.86122056999997
157,137.62977411000003,15.894,200.0
158,35.14150901,14.633999999999999,174.62807139
159,37.45937695,11.930399999999999,149.74031688
160,39.96990361,8.913599999999999,125.04542841
161,45.82407717,4.3452,122.60125323
162,152.33441154000002,2.3112,200.0
163,51.55310413,0.9828,173.91888691
164,51.31172443,0.11520000000000001,147.65093484
165,48.07587709,0.0,121.93747262
166,146.77306111000001,0.0,200.0
167,43.16181126,0.0,197.76637024
168,39.74245719,0.0,176.18546461
169,,,
